customer_id,age,gender,region,acquisition_channel,signup_date,last_purchase_date,total_purchases,avg_order_value,campaign_exposure,campaign_clicks,time_on_site,churned,revenue_last_12m
33,22,Male,North,Email,2024-07-31,2025-08-18,3,100.29,Yes,0,11.9,0,300.87
34,46,Female,North,Search Ads,2025-09-23,2025-10-18,3,71.19,Yes,0,7.06,0,213.57
35,64,Female,West,Social Media,2025-02-22,2025-09-08,4,87.83,No,1,5.09,0,351.32
36,21,Male,North,Email,2023-03-02,2025-08-07,4,72.09,No,0,2.83,0,288.36
37,62,Female,West,Search Ads,2025-02-13,2025-06-03,1,76.19,Yes,1,8.06,0,76.19
38,61,Male,North,Organic,2023-06-15,2025-06-17,5,107.47,Yes,1,13.67,0,537.35
39,32,Female,South,Social Media,2025-05-22,2025-08-14,2,95.66,Yes,1,11.92,0,191.32
40,50,Female,West,Social Media,2023-11-22,2025-10-01,2,90.36,Yes,0,14.38,0,180.72
41,26,Male,South,Social Media,2024-11-26,2025-08-14,4,64.71,Yes,1,11.03,0,258.84
42,57,Male,West,Social Media,2025-01-11,2025-04-10,5,85.03,Yes,1,9.19,1,425.15
43,54,Male,North,Email,2023-12-23,2025-07-15,2,78.53,No,0,3.26,0,157.06
44,36,Male,East,Search Ads,2025-08-24,2025-09-18,4,64.8,No,0,3.26,0,259.2
45,21,Male,East,Social Media,2024-06-10,2025-08-12,1,95.88,Yes,0,9.21,0,95.88
46,68,Other,West,Organic,2024-02-28,2025-03-08,3,94.34,No,1,3.87,1,283.02
47,41,Male,North,Social Media,2024-05-07,2025-07-03,5,43.79,Yes,2,6.23,0,218.95
48,64,Female,South,Search Ads,2023-11-05,2025-08-08,6,86.0,Yes,3,10.36,0,516.0
49,53,Male,East,Organic,2023-04-19,2025-08-17,3,119.19,No,0,11.82,0,357.57
50,58,Other,West,Email,2025-09-11,2025-09-19,5,89.63,Yes,3,7.0,0,448.15
51,57,Male,West,Search Ads,2025-03-25,2025-09-10,2,124.1,No,0,3.92,0,248.2
52,28,Male,West,Organic,2025-03-27,2025-07-19,3,92.12,Yes,2,2.65,0,276.36
53,36,Female,East,Referral,2025-07-04,2025-08-27,5,104.07,No,2,8.36,0,520.35
54,42,Male,East,Social Media,2024-09-05,2025-08-29,3,80.83,Yes,0,6.84,0,242.49
55,43,Female,West,Social Media,2025-09-14,2025-09-20,1,67.3,Yes,0,9.68,0,67.3
56,20,Male,West,Organic,2025-09-15,2025-10-08,1,65.97,Yes,2,8.64,0,65.97
57,46,Female,West,Search Ads,2023-09-06,2025-09-17,2,111.87,Yes,1,9.21,0,223.74
58,26,Female,West,Organic,2024-03-17,2025-07-29,4,80.33,No,0,11.6,0,321.32
59,56,Female,West,Social Media,2023-04-06,2025-09-02,1,74.64,Yes,0,12.96,0,74.64
60,53,Male,North,Social Media,2024-12-05,2025-07-16,3,122.16,Yes,0,10.99,0,366.48
61,65,Male,South,Organic,2023-04-22,2025-08-22,4,127.27,No,0,5.31,0,509.08
62,56,Male,West,Organic,2025-02-04,2025-06-28,2,89.13,No,0,6.35,0,178.26
63,37,Male,East,Social Media,2025-03-17,2025-04-10,5,50.91,No,1,10.89,1,254.55
64,68,Male,North,Social Media,2024-02-17,2025-09-16,2,82.82,Yes,1,13.35,0,165.64
65,39,Female,East,Email,2024-09-25,2025-05-04,0,64.48,Yes,0,5.38,0,0.0
66,34,Female,East,Referral,2025-08-09,2025-08-13,3,68.77,Yes,0,13.06,0,206.31
67,65,Female,West,Search Ads,2025-01-28,2025-08-17,1,117.49,No,1,5.66,0,117.49
68,37,Male,West,Social Media,2024-03-18,2025-07-29,4,59.99,No,1,10.61,0,239.96
69,21,Male,North,Organic,2025-06-26,2025-09-19,4,71.16,No,0,16.4,0,284.64
70,42,Female,South,Social Media,2023-02-10,2025-06-28,5,81.07,Yes,0,5.36,0,405.35
71,59,Male,North,Social Media,2023-08-15,2025-08-15,1,61.86,Yes,0,12.36,0,61.86
72,27,Male,West,Search Ads,2023-11-25,2025-07-27,3,78.03,Yes,0,7.68,0,234.09
73,42,Female,North,Social Media,2024-01-01,2025-09-17,2,62.68,Yes,1,12.23,0,125.36
74,24,Female,East,Referral,2024-11-05,2025-09-12,1,67.33,Yes,1,7.55,0,67.33
75,53,Other,East,Search Ads,2025-03-05,2025-08-18,1,87.44,Yes,1,1.92,0,87.44
76,42,Male,East,Referral,2023-02-23,2025-09-06,2,92.06,No,0,5.74,0,184.12
77,35,Female,East,Search Ads,2023-09-18,2025-02-12,2,62.03,Yes,0,10.4,1,124.06
78,29,Male,East,Social Media,2025-03-31,2025-08-23,3,58.37,No,2,12.65,0,175.11
79,47,Male,East,Organic,2024-05-22,2024-11-12,2,58.69,Yes,2,10.49,1,117.38
80,52,Female,North,Referral,2023-11-08,2025-06-22,2,66.43,Yes,1,12.22,0,132.86
81,66,Male,South,Search Ads,2024-03-20,2025-07-15,5,87.08,Yes,0,8.05,0,435.4
82,40,Female,East,Social Media,2024-08-30,2025-06-12,7,90.27,Yes,4,8.28,0,631.89
83,26,Male,South,Referral,2024-08-20,2025-09-27,5,83.05,No,0,9.03,0,415.25
84,61,Male,East,Email,2025-04-11,2025-07-31,2,110.9,Yes,1,6.04,0,221.8
85,50,Female,South,Email,2025-09-18,2025-10-04,1,112.54,Yes,1,13.07,0,112.54
86,54,Male,West,Email,2025-03-21,2025-09-16,1,47.44,Yes,0,4.29,0,47.44
87,23,Female,North,Social Media,2023-04-15,2025-08-13,3,86.93,No,1,11.19,0,260.79
88,34,Male,East,Organic,2024-02-27,2025-08-07,3,47.7,Yes,0,11.85,0,143.1
89,57,Female,North,Social Media,2024-05-01,2025-07-31,5,86.93,Yes,0,9.33,0,434.65
90,61,Male,East,Social Media,2024-09-23,2025-08-09,5,105.76,Yes,2,12.91,0,528.8
91,40,Male,South,Referral,2025-08-19,2025-09-09,3,99.98,No,0,6.05,1,299.94
92,59,Female,East,Social Media,2024-03-24,2025-09-02,2,67.15,Yes,2,6.84,0,134.3
93,61,Male,North,Search Ads,2023-12-15,2025-09-17,3,113.51,Yes,4,10.91,0,340.53
94,38,Male,West,Social Media,2025-06-21,2025-07-09,4,68.54,Yes,1,7.56,0,274.16
95,64,Other,East,Email,2025-01-12,2025-07-09,6,89.3,No,0,8.9,0,535.8
96,32,Female,West,Email,2024-04-05,2025-07-03,1,64.95,No,2,8.9,0,64.95
97,30,Female,East,Referral,2025-07-21,2025-08-19,6,99.25,No,0,7.8,1,595.5
98,53,Female,East,Search Ads,2023-10-31,2025-08-17,4,83.6,Yes,0,9.08,0,334.4
99,51,Female,West,Search Ads,2023-08-30,2025-07-23,2,52.4,Yes,0,11.18,0,104.8
100,25,Female,North,Organic,2023-01-22,2025-07-29,4,76.3,No,0,7.7,0,305.2
101,61,Female,East,Referral,2023-03-23,2025-09-03,4,107.62,No,1,6.57,0,430.48
102,28,Male,South,Search Ads,2025-05-17,2025-07-11,3,115.76,Yes,4,11.93,0,347.28
103,59,Male,East,Social Media,2023-03-17,2025-01-20,1,76.43,No,1,9.42,1,76.43
104,18,Female,North,Social Media,2025-02-06,2025-07-14,1,107.43,No,0,9.95,0,107.43
105,59,Female,South,Search Ads,2023-03-15,2025-05-11,3,78.35,Yes,1,10.67,0,235.05
106,58,Female,East,Email,2023-08-19,2025-07-22,4,130.2,Yes,1,8.4,0,520.8
107,58,Male,South,Organic,2023-12-18,2025-06-26,6,69.38,Yes,0,8.57,0,416.28
108,52,Male,North,Organic,2023-08-04,2025-07-27,6,86.24,Yes,1,8.44,0,517.44
109,42,Female,South,Search Ads,2023-05-07,2025-07-21,3,63.49,Yes,1,9.17,0,190.47
110,54,Female,West,Search Ads,2025-09-18,2025-10-04,3,85.22,Yes,1,10.66,1,255.66
111,32,Male,North,Email,2024-02-11,2025-07-21,4,98.06,Yes,0,11.26,0,392.24
112,58,Female,South,Search Ads,2024-02-29,2025-04-10,1,151.9,No,1,8.43,1,151.9
113,46,Female,West,Referral,2025-01-26,2025-02-14,3,78.19,Yes,0,9.85,1,234.57
114,41,Female,West,Email,2025-07-05,2025-08-01,2,37.25,No,0,4.69,0,74.5
115,44,Male,North,Social Media,2023-10-27,2025-10-07,4,110.62,No,0,7.21,0,442.48
116,47,Female,East,Social Media,2024-03-30,2025-04-10,4,86.07,Yes,2,11.94,1,344.28
117,19,Female,North,Search Ads,2024-04-25,2025-07-05,3,119.43,Yes,0,5.22,0,358.29
118,25,Female,West,Referral,2023-09-19,2025-09-03,3,68.27,No,1,8.42,0,204.81
119,30,Male,South,Social Media,2023-05-08,2025-07-29,4,129.23,Yes,3,10.14,0,516.92
120,23,Female,South,Social Media,2025-07-12,2025-08-09,1,71.9,Yes,0,9.31,0,71.9
121,40,Female,South,Social Media,2024-12-01,2025-07-15,1,80.7,Yes,0,12.45,0,80.7
122,52,Male,East,Organic,2024-11-12,2025-09-06,5,87.28,No,0,8.68,0,436.4
123,52,Male,North,Organic,2023-11-15,2025-06-25,4,60.13,Yes,1,5.99,0,240.52
124,42,Female,West,Organic,2024-10-24,2025-07-23,4,77.33,Yes,2,10.98,0,309.32
125,62,Female,South,Organic,2023-05-16,2025-08-06,2,47.48,No,0,6.48,0,94.96
126,47,Male,East,Social Media,2023-04-29,2025-08-11,6,98.65,Yes,1,6.96,0,591.9
127,22,Male,West,Social Media,2025-08-15,2025-08-17,4,75.0,No,0,10.83,0,300.0
128,57,Male,North,Search Ads,2023-08-18,2025-08-01,6,31.46,Yes,0,5.99,0,188.76
129,47,Female,North,Referral,2025-02-10,2025-08-23,2,84.58,No,1,6.94,0,169.16
130,51,Other,South,Email,2023-10-07,2025-07-31,3,91.33,Yes,1,10.68,0,273.99
131,47,Male,West,Social Media,2024-10-16,2025-08-08,3,91.94,Yes,2,10.59,0,275.82
132,46,Male,North,Organic,2024-09-05,2025-08-16,4,122.73,Yes,2,8.85,0,490.92
133,22,Male,West,Search Ads,2024-12-26,2025-09-04,3,94.02,Yes,1,5.79,0,282.06
134,47,Female,East,Referral,2025-08-14,2025-08-29,3,87.51,Yes,3,7.76,0,262.53
135,59,Female,East,Organic,2024-03-02,2025-06-15,2,82.02,No,1,4.77,0,164.04
136,33,Female,East,Referral,2025-05-18,2025-07-25,6,128.93,Yes,2,7.53,0,773.58
137,49,Male,North,Email,2023-10-27,2025-07-06,2,64.45,Yes,0,8.23,0,128.9
138,19,Male,North,Email,2025-08-24,2025-08-28,3,75.45,Yes,0,6.24,0,226.35
139,36,Male,East,Email,2024-05-16,2025-04-25,0,101.14,Yes,0,9.11,0,0.0
140,40,Female,South,Organic,2025-04-26,2025-05-21,2,89.52,No,0,6.07,1,179.04
141,69,Female,East,Search Ads,2025-04-07,2025-04-10,5,66.0,Yes,0,10.31,1,330.0
142,29,Female,West,Search Ads,2024-09-28,2025-09-28,3,95.32,No,0,9.09,0,285.96
143,32,Male,North,Organic,2025-08-24,2025-09-05,3,124.05,Yes,2,13.68,0,372.15
144,39,Female,South,Referral,2024-11-08,2025-04-10,3,91.13,Yes,2,12.13,1,273.39
145,69,Male,South,Referral,2024-08-30,2025-07-07,5,83.52,Yes,0,6.69,0,417.6
146,62,Female,North,Search Ads,2023-09-11,2025-05-10,0,89.9,Yes,1,2.22,0,0.0
147,19,Female,West,Social Media,2024-01-13,2025-01-19,1,80.69,No,0,4.04,1,80.69
148,30,Female,West,Search Ads,2023-01-07,2025-05-24,1,138.29,Yes,0,7.29,0,138.29
149,60,Female,South,Organic,2024-12-21,2025-09-01,5,104.32,No,1,3.18,0,521.6
150,21,Male,West,Search Ads,2024-08-31,2025-07-01,4,43.9,No,1,6.15,0,175.6
151,62,Female,North,Social Media,2024-11-30,2025-09-18,2,114.11,Yes,0,11.44,0,228.22
152,32,Male,West,Social Media,2024-09-22,2025-07-08,4,74.6,No,2,6.91,0,298.4
153,65,Female,West,Search Ads,2023-09-06,2025-07-13,2,95.25,Yes,0,9.63,0,190.5
154,33,Male,North,Search Ads,2025-09-29,2025-10-05,4,111.2,No,0,6.17,0,444.8
155,40,Male,East,Email,2024-03-12,2025-09-22,4,117.21,Yes,3,5.81,0,468.84
156,52,Male,West,Social Media,2024-12-02,2025-06-23,1,94.13,Yes,0,14.66,0,94.13
157,24,Male,South,Social Media,2023-05-15,2025-09-17,2,85.89,Yes,2,9.84,0,171.78
158,46,Female,South,Social Media,2024-08-21,2025-08-26,1,76.75,No,0,8.94,0,76.75
159,44,Female,East,Social Media,2024-02-08,2025-04-10,4,85.27,Yes,3,12.45,1,341.08
160,58,Male,North,Organic,2025-07-19,2025-08-05,1,125.55,No,0,10.63,1,125.55
161,69,Other,North,Organic,2025-02-04,2025-09-27,3,53.0,No,1,6.9,0,159.0
162,52,Female,North,Email,2025-07-26,2025-08-24,1,81.21,Yes,2,14.05,0,81.21
163,39,Male,East,Organic,2023-11-11,2025-01-03,4,101.37,No,1,6.65,1,405.48
164,39,Male,South,Social Media,2024-10-24,2025-04-10,3,132.68,Yes,2,12.91,1,398.04
165,39,Female,East,Organic,2024-09-26,2025-09-21,5,127.04,No,0,4.3,0,635.2
166,60,Female,North,Search Ads,2023-09-09,2025-09-28,5,97.54,Yes,2,8.7,0,487.7
167,34,Male,North,Email,2023-11-25,2025-09-20,2,102.69,No,3,8.67,0,205.38
168,26,Female,East,Referral,2024-11-07,2025-07-08,2,115.23,No,0,9.08,0,230.46
169,35,Male,North,Search Ads,2023-05-28,2025-07-19,4,84.23,Yes,0,7.04,0,336.92
170,19,Male,East,Social Media,2024-02-06,2025-06-05,0,104.7,No,0,3.65,0,0.0
171,23,Female,South,Social Media,2025-01-13,2025-07-01,3,75.03,No,0,9.98,0,225.09
172,22,Female,East,Search Ads,2025-04-23,2025-08-06,4,62.55,No,2,7.38,0,250.2
173,58,Female,South,Search Ads,2024-08-14,2025-08-25,1,105.74,No,0,6.83,0,105.74
174,55,Male,West,Organic,2024-11-02,2025-09-14,4,85.95,No,0,12.96,0,343.8
175,54,Male,North,Social Media,2025-04-07,2025-10-06,2,106.61,Yes,0,7.34,0,213.22
176,42,Male,West,Referral,2023-08-20,2025-08-19,6,101.66,No,0,6.45,0,609.96
177,55,Male,South,Referral,2024-11-11,2025-09-02,3,77.04,No,0,2.6,0,231.12
178,26,Male,North,Social Media,2025-01-07,2025-05-26,3,116.03,Yes,1,6.95,0,348.09
179,64,Female,East,Search Ads,2025-03-30,2025-06-21,4,106.8,Yes,3,10.28,0,427.2
180,44,Female,North,Search Ads,2024-09-02,2025-09-16,3,108.83,Yes,1,8.13,0,326.49
181,66,Female,South,Search Ads,2023-06-05,2025-08-14,5,67.19,No,1,9.89,0,335.95
182,25,Male,West,Social Media,2023-02-20,2025-08-26,3,71.72,No,0,4.72,0,215.16
183,43,Male,West,Social Media,2024-09-08,2025-07-31,1,75.58,No,1,5.99,0,75.58
184,54,Female,East,Search Ads,2023-10-05,2025-07-26,4,91.33,Yes,0,6.71,0,365.32
185,43,Male,West,Organic,2024-01-04,2025-07-24,1,132.65,Yes,0,10.54,0,132.65
186,41,Female,South,Organic,2024-04-08,2025-04-10,5,56.99,Yes,1,9.04,1,284.95
187,26,Male,North,Social Media,2025-01-18,2025-02-09,1,88.0,No,0,5.27,1,88.0
188,37,Female,West,Email,2023-12-22,2025-08-07,3,65.04,No,0,10.14,0,195.12
189,30,Female,North,Organic,2024-08-04,2025-09-17,2,66.82,No,0,9.48,0,133.64
190,33,Female,North,Social Media,2024-05-14,2025-08-15,3,79.06,Yes,2,10.47,0,237.18
191,53,Female,North,Social Media,2023-02-24,2025-07-12,2,96.52,No,1,9.49,0,193.04
192,50,Female,South,Social Media,2024-11-24,2025-06-01,0,32.17,Yes,1,7.91,0,0.0
193,49,Male,South,Social Media,2024-06-19,2025-08-27,3,53.25,No,2,12.38,0,159.75
194,36,Female,South,Organic,2023-08-10,2025-06-13,1,74.05,No,0,7.7,0,74.05
195,67,Female,East,Organic,2025-01-16,2025-02-10,1,80.6,No,0,8.8,1,80.6
196,22,Other,East,Referral,2023-04-11,2025-09-09,3,72.96,No,1,9.15,0,218.88
197,35,Male,West,Search Ads,2023-09-21,2025-08-20,4,82.52,Yes,1,7.24,0,330.08
198,24,Male,North,Organic,2023-08-28,2025-09-07,5,76.75,No,1,13.69,0,383.75
199,35,Female,North,Social Media,2024-10-18,2025-07-31,3,97.77,No,0,8.52,0,293.31
200,68,Female,East,Social Media,2025-09-19,2025-09-30,5,91.5,No,0,8.7,0,457.5
201,37,Male,North,Social Media,2025-04-23,2025-05-07,4,83.81,Yes,0,7.22,0,335.24
202,65,Male,South,Organic,2023-05-19,2024-11-22,1,111.57,No,0,11.45,1,111.57
203,43,Male,East,Email,2023-03-07,2025-02-25,1,104.2,Yes,1,12.53,1,104.2
204,54,Female,West,Email,2025-03-02,2025-07-22,3,79.54,No,1,8.47,0,238.62
205,41,Male,North,Email,2024-08-02,2025-07-21,3,56.38,No,1,3.6,0,169.14
206,31,Male,East,Social Media,2025-06-09,2025-07-19,5,80.92,Yes,0,9.09,0,404.6
207,57,Male,East,Search Ads,2023-06-28,2025-06-24,4,58.46,Yes,4,9.82,0,233.84
208,68,Female,West,Organic,2023-05-07,2025-03-15,2,98.11,No,0,6.65,1,196.22
209,31,Male,South,Organic,2024-05-16,2025-05-06,0,127.86,No,1,5.05,0,0.0
210,58,Male,East,Referral,2023-09-28,2025-07-14,3,102.05,Yes,0,4.31,0,306.15
211,31,Female,East,Social Media,2023-08-21,2025-10-04,4,105.28,No,0,13.01,0,421.12
212,55,Male,North,Organic,2024-09-19,2025-09-02,3,64.4,No,1,10.22,0,193.2
213,59,Other,East,Search Ads,2023-11-02,2025-08-06,2,94.21,No,0,8.1,0,188.42
214,41,Female,East,Search Ads,2024-08-09,2025-07-06,3,86.47,Yes,0,7.43,0,259.41
215,56,Male,South,Social Media,2024-07-22,2025-08-15,5,66.04,Yes,2,11.52,0,330.2
216,32,Male,South,Social Media,2025-03-06,2025-07-25,2,81.74,Yes,0,9.37,0,163.48
217,22,Male,South,Referral,2025-09-05,2025-10-01,4,68.05,No,1,6.8,1,272.2
218,23,Male,West,Referral,2024-09-22,2025-09-13,2,112.33,Yes,0,9.53,0,224.66
219,41,Male,North,Social Media,2023-10-15,2025-10-03,1,74.72,Yes,0,11.47,0,74.72
220,64,Male,East,Social Media,2024-07-31,2025-07-31,3,66.3,Yes,2,10.76,0,198.9
221,24,Male,North,Referral,2024-04-28,2025-08-28,2,97.41,No,0,5.34,0,194.82
222,41,Female,East,Search Ads,2024-03-29,2025-07-11,5,105.76,Yes,2,11.44,0,528.8
223,54,Male,East,Search Ads,2023-12-12,2025-08-03,2,112.38,No,2,11.53,0,224.76
224,28,Male,East,Social Media,2023-03-20,2025-08-23,2,69.76,Yes,1,11.04,0,139.52
225,55,Female,East,Organic,2023-09-05,2025-07-27,4,85.22,Yes,1,15.98,0,340.88
226,33,Male,South,Organic,2024-08-15,2024-09-02,3,108.44,Yes,0,8.32,1,325.32
227,60,Male,South,Search Ads,2023-03-12,2025-07-23,5,67.23,Yes,0,4.41,0,336.15
228,48,Male,East,Email,2023-06-07,2025-09-22,2,86.82,Yes,2,6.57,0,173.64
229,46,Male,North,Organic,2024-07-26,2025-07-30,2,86.73,No,1,5.99,0,173.46
230,27,Male,West,Social Media,2025-09-25,2025-10-21,5,63.38,Yes,1,10.98,0,316.9
231,42,Female,East,Organic,2023-06-17,2025-04-10,3,109.86,No,2,10.5,1,329.58
232,62,Female,West,Search Ads,2023-03-20,2025-08-27,5,83.5,Yes,2,8.71,0,417.5
233,19,Male,South,Referral,2023-12-17,2025-04-10,6,121.73,Yes,1,9.16,1,730.38
234,57,Male,East,Referral,2023-03-17,2025-07-17,1,69.83,Yes,2,14.79,0,69.83
235,43,Female,North,Social Media,2025-06-17,2025-09-15,4,31.3,Yes,1,5.57,0,125.2
236,55,Female,West,Email,2025-02-28,2025-10-04,3,72.84,Yes,1,9.57,0,218.52
237,52,Male,East,Email,2023-04-28,2024-12-23,1,94.32,No,0,6.64,1,94.32
238,40,Male,East,Social Media,2023-04-12,2025-07-28,0,74.04,No,1,5.08,0,0.0
239,34,Male,East,Referral,2024-06-26,2025-10-04,1,95.27,Yes,0,3.3,0,95.27
240,50,Female,South,Organic,2024-02-11,2025-07-14,2,84.43,No,1,11.89,0,168.86
241,25,Male,East,Organic,2024-11-26,2025-07-30,3,65.36,Yes,1,5.92,0,196.08
242,48,Male,West,Email,2025-07-19,2025-07-24,2,146.61,No,0,7.25,0,293.22
243,22,Male,North,Social Media,2023-12-02,2025-06-05,2,82.66,Yes,0,11.66,0,165.32
244,51,Male,West,Search Ads,2025-03-01,2025-07-31,1,75.84,Yes,1,4.74,0,75.84
245,50,Female,West,Social Media,2023-11-30,2025-07-29,3,143.66,No,1,6.1,0,430.98
246,22,Female,West,Organic,2023-08-22,2025-09-02,2,64.88,Yes,1,9.12,0,129.76
247,57,Female,West,Email,2025-08-31,2025-09-28,3,87.9,Yes,0,7.99,0,263.7
248,39,Male,South,Organic,2023-09-09,2025-09-11,2,72.76,No,0,4.17,0,145.52
249,58,Male,East,Social Media,2023-05-24,2025-05-29,6,58.68,No,0,10.42,0,352.08
250,20,Female,North,Organic,2024-08-17,2025-09-27,4,106.15,No,0,6.61,0,424.6
251,27,Female,East,Organic,2024-08-20,2025-08-29,6,86.15,No,1,8.41,0,516.9
252,43,Male,North,Email,2024-05-02,2024-10-29,1,57.92,Yes,2,9.09,1,57.92
253,27,Male,West,Organic,2023-03-29,2025-06-25,2,129.64,No,1,10.91,0,259.28
254,35,Female,North,Search Ads,2023-04-28,2025-04-10,4,91.43,No,1,9.06,1,365.72
255,52,Female,North,Search Ads,2025-01-29,2025-07-30,5,119.76,Yes,1,7.38,0,598.8
256,25,Female,North,Social Media,2023-06-09,2025-07-10,2,116.46,Yes,2,14.07,0,232.92
257,53,Female,East,Social Media,2023-10-04,2025-07-14,3,51.85,No,0,7.18,0,155.55
258,23,Male,North,Social Media,2025-03-16,2025-07-14,4,102.48,No,1,6.16,0,409.92
259,27,Male,North,Email,2023-12-06,2025-09-15,2,109.49,Yes,2,5.62,0,218.98
260,48,Male,North,Search Ads,2023-12-12,2024-11-18,5,94.38,No,2,1.0,1,471.9
261,59,Female,South,Social Media,2025-07-08,2025-09-27,3,109.36,Yes,3,7.5,0,328.08
262,26,Female,West,Social Media,2025-03-12,2025-07-16,1,75.93,Yes,1,9.39,0,75.93
263,33,Male,South,Email,2024-12-11,2025-08-16,0,121.62,No,0,3.91,1,0.0
264,66,Female,South,Organic,2023-07-10,2025-01-17,4,75.32,Yes,2,13.64,1,301.28
265,69,Male,North,Search Ads,2023-10-13,2025-06-18,3,126.33,Yes,1,1.0,0,378.99
266,48,Male,North,Email,2024-08-24,2025-06-19,2,96.8,Yes,1,6.39,0,193.6
267,41,Male,South,Organic,2025-04-21,2025-06-11,5,95.45,Yes,2,5.36,0,477.25
268,36,Female,North,Email,2024-05-21,2025-08-14,3,57.94,No,1,10.75,0,173.82
269,49,Female,North,Email,2025-01-15,2025-08-29,1,119.59,No,1,9.96,0,119.59
270,48,Female,North,Referral,2023-11-24,2025-01-17,2,74.46,No,1,7.2,1,148.92
271,33,Other,South,Organic,2024-01-02,2024-10-14,5,124.76,No,3,3.73,1,623.8
272,19,Female,East,Search Ads,2024-09-02,2025-07-10,6,99.7,No,0,4.4,0,598.2
273,25,Female,North,Email,2024-07-22,2025-04-10,5,96.34,No,1,8.75,1,481.7
274,67,Female,East,Search Ads,2023-05-05,2024-12-19,2,80.33,No,0,5.97,1,160.66
275,39,Male,East,Social Media,2024-01-25,2025-06-19,4,77.93,Yes,1,7.1,0,311.72
276,43,Female,West,Email,2025-05-09,2025-07-21,4,49.54,No,2,7.78,0,198.16
277,42,Female,North,Organic,2024-06-19,2025-07-04,1,104.95,Yes,1,8.39,0,104.95
278,58,Female,West,Organic,2025-01-15,2025-08-24,3,95.09,Yes,0,4.17,0,285.27
279,21,Male,West,Organic,2023-10-15,2025-05-22,0,122.36,No,0,4.01,0,0.0
280,22,Female,West,Email,2023-08-24,2025-08-08,1,80.66,Yes,0,4.74,0,80.66
281,32,Other,West,Referral,2024-08-04,2025-08-31,2,140.17,Yes,0,5.88,0,280.34
282,43,Male,North,Organic,2024-04-26,2025-08-21,1,64.17,No,0,8.27,0,64.17
283,52,Other,West,Social Media,2025-06-23,2025-07-31,2,93.35,Yes,0,10.64,0,186.7
284,43,Male,West,Social Media,2023-07-03,2024-07-09,3,102.25,No,1,12.16,1,306.75
